GENE	Sample1
ARPC5L	33
ARPC5	171
ACTRT3	5
ARPP19	330
ARPP21	11
ARR3	0
ARRB1	50
ARRB2	72
ARRDC1	35
ARRDC2	75
ARRDC3	210
ARRDC4	73
ARRDC5	1
ARSA	42
ARSB	71
ARSD	169
ARSE	1
ARSF	0
ARSG	14
ARSH	0
ARSI	1
ARSJ	9
ARSK	30
ART1	2
ART3	2
ART4	0
ART5	2
ARTN	0
ARV1	15
ARVCF	17
ARX	3
AR	124
AS3MT	34
ASAH1	770
ASAH2B	11
ASAH2	0
CLMP	6
ASAP1	167
ASAP2	47
ASAP3	107
ASB10	1
ASB11	0
ASB12	0
ASB13	49
ASB14	8
ASB15	0
ASB16	5
ASB17	0
ASB18	2
ASB1	47
ASB2	0
ASB3	33
ASB4	0
ASB5	1
ASB6	69
ASB7	30
ASB8	35
ASB9	2
ASCC1	72
ASCC2	61
ASCC3	184
ASCL1	3
ASCL2	4
ASCL3	0
ASCL4	0
ASF1A	37
ASF1B	2
FMR1-AS1	0
ASGR1	8
ASGR2	1
ASH1L	430
ASH2L	27
ASIP	2
ASL	21
ASMTL	28
ASMT	8
ASNA1	24
ASNSD1	47
ASNS	52
ASPA	23
ASPDH	3
ASPG	0
ASPHD1	10
ASPHD2	3
ASPH	268
ASPM	30
ASPN	4
ASPRV1	10
ASPSCR1	20
ASRGL1	51
ASS1	93
ASTE1	18
ASTL	0
ASTN1	56
ASTN2	73
ASXL1	98
ASXL2	115
ASXL3	7
ASZ1	0
ATAD1	63
ATAD2B	92
ATAD2	52
ATAD3A	32
ATAD3B	23
ATAD3C	102
ATAD5	19
ATCAY	45
ATE1	48
ATF1	22
ATF2	65
ATF3	34
ATF4	309
ATF5	34
ATF6B	59
ATF6	151
ATF7IP2	43
ATF7IP	118
ATF7	56
ATG10	35
ATG12	25
ATG16L1	39
ATG16L2	37
ATG2A	43
ATG2B	150
ATG3	42
ATG4A	23
ATG4B	45
ATG4C	31
ATG4D	15
ATG5	52
ATG7	92
ATG9A	52
ATG9B	2
ATHL1	33
ATIC	53
ATL1	33
ATL2	65
ATL3	74
ATMIN	91
ATM	446
ATN1	89
ATOH1	0
ATOH7	0
ATOH8	35
ATOX1	26
ATP10A	36
ATP10B	49
ATP10D	61
ATP11A	132
ATP11B	102
ATP11C	64
ATP12A	0
ATP13A1	78
ATP13A2	89
ATP13A3	265
ATP13A4	93
ATP13A5	4
ATP1A1	448
ATP1A2	625
ATP1A3	192
ATP1A4	8
ATP1B1	295
ATP1B2	286
ATP1B3	124
ATP1B4	2
ATP2A1	3
ATP2A2	456
ATP2A3	23
ATP2B1	146
ATP2B2	122
ATP2B3	16
ATP2B4	250
ATP2C1	150
ATP2C2	12
ATP4A	0
ATP4B	0
ATP5A1	295
ATP5B	276
ATP5C1	97
ATP5D	28
ATP5E	117
ATP5F1	132
ATP5G1	24
ATP5G2	86
ATP5G3	79
ATP5H	89
ATP5I	38
ATP5J2	31
ATP5J	26
ATP5L2	12
ATP5L	73
ATP5O	42
ATP5SL	17
ATP5S	14
ATP6AP1L	42
ATP6AP1	180
ATP6AP2	194
ATP6V0A1	248
ATP6V0A2	48
ATP6V0A4	0
ATP6V0B	113
ATP6V0C	58
ATP6V0D1	119
ATP6V0D2	9
ATP6V0E1	89
ATP6V0E2	93
ATP6V1A	232
ATP6V1B1	4
ATP6V1B2	381
ATP6V1C1	271
ATP6V1C2	6
ATP6V1D	109
ATP6V1E1	125
ATP6V1E2	5
ATP6V1F	73
ATP6V1G1	80
ATP6V1G2	39
ATP6V1G3	0
ATP6V1H	88
ATP7A	95
ATP7B	20
ATP8A1	177
ATP8A2	37
ATP8B1	68
ATP8B2	44
ATP8B3	15
ATP8B4	32
ATP8B5P	0
ATP9A	329
ATP9B	729
ATPAF1	46
ATPAF2	24
DPH6	11
ATPIF1	34
ATRIP	15
ATRNL1	134
ATRN	173
ATRX	301
ATR	110
ATXN10	96
ATXN1L	86
ATXN1	151
ATXN2L	103
ATXN2	67
ATXN3L	0
ATXN3	87
ATXN7L1	22
ATXN7L2	3
ATXN7L3B	121
ATXN7L3	91
ATXN7	71
AUH	27
AUP1	82
AURKAIP1	25
AURKA	9
AURKB	1
AURKC	4
AUTS2	44
AVEN	11
AVIL	36
AVL9	72
AVPI1	25
AVPR1A	4
AVPR1B	0
AVPR2	1
AVP	0
AWAT1	0
AWAT2	1
AXIN1	40
AXIN2	25
AXL	245
AZGP1	125
CEP131	8
AZI2	90
AZIN1	356
AZU1	0
B2M	2503
B3GALNT1	40
B3GALNT2	62
B3GALT1	1
B3GALT2	22
B3GALT4	6
B3GALT5	3
B3GALT6	23
B3GLCT	42
B3GAT1	111
B3GAT2	8
B3GAT3	44
B4GAT1	43
B3GNT2	60
B3GNT3	9
B3GNT4	1
B3GNT5	17
B3GNT6	4
B3GNT7	66
B3GNT8	1
B3GNT9	7
B3GNTL1	3
B4GALNT1	13
B4GALNT2	0
B4GALNT3	12
B4GALNT4	14
B4GALT1	118
B4GALT2	34
B4GALT3	27
B4GALT4	34
B4GALT5	127
B4GALT6	28
B4GALT7	13
B9D1	5
B9D2	4
BAALC	258
BAAT	22
BACE1	123
BACE2	48
BACH1	187
BACH2	11
BAD	29
BAG1	61
BAG2	10
BAG3	56
BAG4	39
BAG5	70
BAHCC1	29
BAHD1	46
ADGRB1	22
ADGRB2	35
ADGRB3	32
BAIAP2L1	10
BAIAP2L2	3
BAIAP2	52
BAIAP3	66
BAK1	42
BAMBI	10
BANF1	31
BANF2	0
BANK1	2
BANP	21
BAP1	72
BARD1	16
BARHL1	0
BARHL2	0
BARX1	0
BARX2	0
BPIFA4P	0
BASP1	60
DDX39B	203
PRRC2B	394
PRRC2C	571
PRRC2A	241
BAG6	180
GPANK1	9
ABHD16A	45
BATF2	3
BATF3	2
BATF	10
BAX	22
BAZ1A	85
BAZ1B	189
BAZ2A	116
BAZ2B	206
BBC3	9
BBOX1	41
BBS10	20
BBS12	7
BBS1	36
BBS2	138
BBS4	26
BBS5	79
