GENE	Sample1
ARPC3	1831
ARPC4	1469
ARPC5L	712
ARPC5	2780
ACTRT3	47
ARPP19	7400
ARPP21	2
ARR3	14
ARRB1	447
ARRB2	187
ARRDC1	689
ARRDC2	441
ARRDC3	16386
ARRDC4	903
ARRDC5	7
ARSA	458
ARSB	623
ARSD	5272
ARSE	2
ARSF	80
ARSG	527
ARSH	5
ARSI	19
ARSJ	143
ARSK	308
ART1	10
ART3	174
ART4	137
ART5	2
ARTN	18
ARV1	557
ARVCF	692
ARX	8
AR	1485
AS3MT	543
ASAH1	2073
ASAH2B	185
ASAH2	20
CLMP	204
ASAP1	1243
ASAP2	999
ASAP3	1698
ASB10	0
ASB11	30
ASB12	0
ASB13	403
ASB14	196
ASB15	2
ASB16	132
ASB17	4
ASB18	2
ASB1	518
ASB2	7
ASB3	422
ASB4	5
ASB5	0
ASB6	1341
ASB7	559
ASB8	646
ASB9	117
ASCC1	832
ASCC2	693
ASCC3	5373
ASCL1	1
ASCL2	4
ASCL3	6
ASCL4	0
ASF1A	452
ASF1B	121
FMR1-AS1	33
ASGR1	4
ASGR2	0
ASH1L	14647
ASH2L	689
ASIP	2
ASL	649
ASMTL	580
ASMT	162
ASNA1	416
ASNSD1	777
ASNS	1114
ASPA	26
ASPDH	7
ASPG	14
ASPHD1	26
ASPHD2	105
ASPH	9044
ASPM	1031
ASPN	445
ASPRV1	166
ASPSCR1	530
ASRGL1	959
ASS1	1643
ASTE1	226
ASTL	0
ASTN1	20
ASTN2	892
ASXL1	2154
ASXL2	2014
ASXL3	25
ASZ1	0
ATAD1	809
ATAD2B	2602
ATAD2	1159
ATAD3A	806
ATAD3B	1207
ATAD3C	2085
ATAD5	570
ATCAY	506
ATE1	733
ATF1	571
ATF2	1149
ATF3	563
ATF4	5307
ATF5	352
ATF6B	1440
ATF6	4543
ATF7IP2	695
ATF7IP	3751
ATF7	2445
ATG10	594
ATG12	954
ATG16L1	1683
ATG16L2	406
ATG2A	313
ATG2B	2479
ATG3	431
ATG4A	351
ATG4B	611
ATG4C	213
ATG4D	264
ATG5	836
ATG7	946
ATG9A	683
ATG9B	10
ATHL1	521
ATIC	960
ATL1	170
ATL2	1905
ATL3	1639
ATMIN	1671
ATM	5419
ATN1	1489
ATOH1	0
ATOH7	0
ATOH8	128
ATOX1	620
ATP10A	1012
ATP10B	450
ATP10D	1021
ATP11A	1831
ATP11B	1571
ATP11C	1716
ATP12A	3
ATP13A1	1119
ATP13A2	914
ATP13A3	4242
ATP13A4	1560
ATP13A5	104
ATP1A1	12074
ATP1A2	224
ATP1A3	34
ATP1A4	209
ATP1B1	8366
ATP1B2	113
ATP1B3	1362
ATP1B4	129
ATP2A1	63
ATP2A2	7402
ATP2A3	594
ATP2B1	1927
ATP2B2	7
ATP2B3	3
ATP2B4	5976
ATP2C1	4508
ATP2C2	482
ATP4A	3
ATP4B	1
ATP5A1	3521
ATP5B	2951
ATP5C1	1043
ATP5D	325
ATP5E	774
ATP5F1	1511
ATP5G1	290
ATP5G2	1624
ATP5G3	585
ATP5H	790
ATP5I	472
ATP5J2	386
ATP5J	229
ATP5L2	245
ATP5L	386
ATP5O	697
ATP5SL	367
ATP5S	176
ATP6AP1L	220
ATP6AP1	1380
ATP6AP2	1821
ATP6V0A1	1034
ATP6V0A2	1288
ATP6V0A4	33
ATP6V0B	1048
ATP6V0C	438
ATP6V0D1	450
ATP6V0D2	197
ATP6V0E1	951
ATP6V0E2	859
ATP6V1A	1738
ATP6V1B1	322
ATP6V1B2	1208
ATP6V1C1	1946
ATP6V1C2	100
ATP6V1D	954
ATP6V1E1	1021
ATP6V1E2	145
ATP6V1F	247
ATP6V1G1	1628
ATP6V1G2	22
ATP6V1G3	0
ATP6V1H	580
ATP7A	2748
ATP7B	1219
ATP8A1	1266
ATP8A2	2285
ATP8B1	4777
ATP8B2	740
ATP8B3	380
ATP8B4	235
ATP8B5P	197
ATP9A	4782
ATP9B	16314
ATPAF1	434
ATPAF2	316
DPH6	353
ATPIF1	557
ATRIP	359
ATRNL1	73
ATRN	2319
ATRX	6145
ATR	3689
ATXN10	1605
ATXN1L	1169
ATXN1	2722
ATXN2L	2060
ATXN2	1831
ATXN3L	0
ATXN3	1717
ATXN7L1	399
ATXN7L2	45
ATXN7L3B	2750
ATXN7L3	1183
ATXN7	1943
AUH	613
AUP1	1810
AURKAIP1	475
AURKA	314
AURKB	37
AURKC	15
AUTS2	702
AVEN	189
AVIL	148
AVL9	724
AVPI1	98
AVPR1A	316
AVPR1B	0
AVPR2	35
AVP	0
AWAT1	4
AWAT2	1
AXIN1	817
AXIN2	378
AXL	983
AZGP1	34258
CEP131	193
AZI2	1408
AZIN1	3996
AZU1	20
B2M	12254
B3GALNT1	310
B3GALNT2	2013
B3GALT1	5
B3GALT2	838
B3GALT4	165
B3GALT5	24
B3GALT6	325
B3GLCT	482
B3GAT1	63
B3GAT2	85
B3GAT3	432
B4GAT1	982
B3GNT2	581
B3GNT3	156
B3GNT4	13
B3GNT5	52
B3GNT6	74
B3GNT7	279
B3GNT8	17
B3GNT9	99
B3GNTL1	170
B4GALNT1	6
B4GALNT2	3
B4GALNT3	99
B4GALNT4	441
B4GALT1	4722
B4GALT2	543
B4GALT3	1330
B4GALT4	1214
B4GALT5	1661
B4GALT6	235
B4GALT7	431
B9D1	108
B9D2	48
BAALC	71
BAAT	229
BACE1	611
BACE2	1650
BACH1	2647
BACH2	170
BAD	280
BAG1	1096
BAG2	296
BAG3	875
BAG4	502
BAG5	1425
BAHCC1	766
BAHD1	1143
ADGRB1	17
ADGRB2	40
ADGRB3	22
BAIAP2L1	1396
BAIAP2L2	62
BAIAP2	657
BAIAP3	101
BAK1	512
BAMBI	3065
BANF1	300
BANF2	0
BANK1	198
BANP	581
BAP1	947
BARD1	421
BARHL1	4
BARHL2	0
BARX1	0
BARX2	12
BPIFA4P	0
BASP1	99
DDX39B	4448
PRRC2B	9541
PRRC2C	17573
PRRC2A	5011
BAG6	2755
GPANK1	234
ABHD16A	1111
BATF2	22
BATF3	41
BATF	607
BAX	133
BAZ1A	2879
BAZ1B	3590
BAZ2A	2918
BAZ2B	5008
BBC3	206
BBOX1	5
BBS10	518
BBS12	108
BBS1	3656
BBS2	928
BBS4	854
BBS5	1897
BBS7	558
BBS9	492
BBX	3392
BCAM	1633
BCAN	108
BCAP29	1152
BCAP31	1504
BCAR1	778
BCAR3	1058
BCAR4	0
BCAS1	497
BCAS2	373
BCAS3	885
BCAS4	179
BCAT1	212
BCAT2	191
BCCIP	1313
BCDIN3D	255
BCHE	24
BCKDHA	303
BCKDHB	1344
BCKDK	536
BCL10	392
BCL11A	281
BCL11B	127
BCL2A1	15
BCL2L10	4
BCL2L11	939
BCL2L12	107
BCL2L13	1580
BCL2L14	33
BCL2L15	721
BCL2L1	1232
BCL2L2	1208
BCL2	813
BCL3	1390
BCL6B	230
BCL6	3174
BCL7A	285
BCL7B	338
BCL7C	585
BCL9L	821
BCL9	1682
BCLAF1	9724
BCO1	0
BCO2	1488
BCORL1	305
BCORP1	54
BCOR	2544
BCR	2137
BCS1L	247
BDH1	713
BDH2	478
BDKRB1	15
BDKRB2	85
BDNF-AS	205
BDNF	49
BDP1	7885
BEAN1	16
BECN1	1267
BEGAIN	13
BEND2	245
BEND3	405
BEND4	12
BEND5	43
BEND6	144
BEND7	747
BEST1	259
BEST2	0
BEST3	146
BEST4	20
BET1L	1435
BET1	1168
TRAPPC3L	0
BEX1	5
BEX2	81
BEX4	369
BEX5	53
